food_id,pid,amount,unit
28,349,0.5,1
28,430,0.03,1
28,372,0.01,1
28,359,0.010,1
28,129,1.000,5
28,216,1.000,5
28,223,1.000,5
28,21,0.06666667,5
28,66,0.075,8
28,55,0.05,8
28,65,0.05,8
29,232,0.100,1
29,216,1.000,5
29,223,1.000,5
30,219,0.035,1
30,231,0.035,1
30,57,1.000,5
30,58,1.000,5
30,59,1.000,5
30,72,1.000,5
30,215,1.000,5
30,221,1.000,5
30,222,1.000,5
30,224,1.000,5
30,259,6.000,5
31,7,0.003,1
31,199,0.230,1
32,180,0.285,1
32,219,0.035,1
32,231,0.035,1
32,72,3.000,5
32,215,1.000,5
32,221,1.000,5
32,222,1.000,5
32,224,1.000,5
33,139,0.150,1
33,180,0.390,1
33,219,0.035,1
33,231,0.035,1
33,72,3.000,5
33,215,1.000,5
33,221,1.000,5
33,222,1.000,5
33,224,1.000,5
34,10,1.000,5
35,21,1.000,5
36,226,1.000,5
37,15,1.000,5
38,14,1.000,5
40,64,0.030,1
40,147,0.020,1
40,193,0.015,1
40,129,1.000,5
40,312,1.000,5
41,11,1.000,5
42,12,1.000,5
44,139,0.100,1
44,151,0.025,1
44,313,0.500,5
45,227,1.000,5
46,64,0.015,1
46,147,0.030,1
46,180,0.120,1
46,192,0.030,1
46,193,0.020,1
46,233,0.050,1
46,177,1.000,5
46,246,1.000,5
46,312,1.000,5
47,64,0.015,1
47,147,0.020,1
47,192,0.030,1
47,193,0.020,1
47,177,1.000,5
47,238,1.000,5
47,312,1.000,5
48,147,0.020,1
48,180,0.120,1
48,128,2.000,5
48,177,1.000,5
48,181,1.000,5
49,64,0.015,1
49,139,0.050,1
49,147,0.020,1
49,149,0.050,1
49,155,0.080,1
49,182,0.145,1
49,192,0.030,1
49,193,0.020,1
50,64,0.015,1
50,139,0.050,1
50,147,0.020,1
50,149,0.050,1
50,192,0.030,1
50,193,0.020,1
50,207,0.080,1
50,313,1.000,5
51,64,0.015,1
51,193,0.020,1
51,197,0.020,1
51,200,0.030,1
51,240,0.075,1
51,242,0.075,1
51,313,1.000,5
52,250,7.000,5
53,61,0.020,1
53,180,0.200,1
53,181,2.000,5
54,139,0.170,1
54,140,0.090,1
54,150,0.020,1
54,182,0.050,1
54,196,0.030,1
54,200,0.070,1
54,136,1.000,5
55,139,0.140,1
55,149,0.150,1
55,150,0.020,1
55,207,0.080,1
55,136,1.000,5
55,235,0.040,8
56,132,0.140,1
56,139,0.170,1
56,150,0.020,1
56,193,0.030,1
56,200,0.090,1
56,234,0.050,1
56,136,1.000,5
58,262,1.000,5
59,13,1.000,5
60,64,0.015,1
60,138,0.050,1
60,147,0.030,1
60,149,0.040,1
60,180,0.120,1
60,192,0.030,1
60,193,0.020,1
60,233,0.050,1
60,177,2.000,5
60,181,1.000,5
60,245,1.000,5
60,312,1.000,5
61,147,0.020,1
61,193,0.020,1
61,239,0.015,1
61,177,1.000,5
61,312,1.000,5
62,64,0.015,1
62,147,0.020,1
62,192,0.030,1
62,193,0.015,1
62,129,1.000,5
62,177,1.000,5
62,181,1.000,5
62,312,1.000,5
63,139,0.065,1
63,147,0.020,1
63,192,0.030,1
63,193,0.020,1
63,200,0.030,1
63,233,0.185,1
64,180,0.170,1
64,180,0.170,1
64,219,0.035,1
64,219,0.035,1
64,231,0.035,1
64,231,0.035,1
64,232,0.100,1
64,232,0.100,1
64,57,1.000,5
64,57,1.000,5
64,58,1.000,5
64,58,1.000,5
64,59,1.000,5
64,59,1.000,5
64,72,3.000,5
64,72,3.000,5
64,215,1.000,5
64,215,1.000,5
64,216,1.000,5
